"id","appID","day","data","user_id","lite"
"987","80","2018-04-21","{""breaks"":-4,""periods"":-10065000}","53","f"
"988","81","2018-04-21","{""breaks"":-4,""periods"":-10065000}","53","f"
"989","82","2018-04-22","{""breaks"":-4,""periods"":-10065000}","53","f"
"990","83","2018-04-22","{""breaks"":-4,""periods"":-10065000}","53","f"
"991","84","2018-04-23","{""breaks"":-4,""periods"":-10065000}","53","f"
"992","85","2018-04-23","{""breaks"":-4,""periods"":-10065000}","53","f"
"993","86","2018-04-24","{""breaks"":-4,""periods"":-10065000}","53","f"
"994","87","2018-04-24","{""breaks"":-4,""periods"":-10065000}","53","f"
"995","67","2018-05-09","{""breaks"":1,""periods"":-12435000}","41","f"
"996","21","2018-05-08","{""breaks"":-3,""periods"":-6945000}","39","f"
"997","22","2018-05-09","{""breaks"":-3,""periods"":-6945000}","39","f"
"998","68","2018-05-10","{""breaks"":1,""periods"":-3615000}","41","f"
"999","23","2018-05-10","{""breaks"":-3,""periods"":-6945000}","39","f"
"1000","92","2018-05-10","{""breaks"":-2,""periods"":-2715000}","52","f"
"1001","93","2018-05-11","{""breaks"":-1,""periods"":-8130000}","52","f"
"1002","24","2018-05-11","{""breaks"":-3,""periods"":-6945000}","39","f"
"1003","25","2018-05-12","{""breaks"":-3,""periods"":-6945000}","39","f"
"1004","26","2018-05-13","{""breaks"":-3,""periods"":-6945000}","39","f"
"1005","94","2018-05-12","{""breaks"":-1,""periods"":-8130000}","52","f"
"1006","95","2018-05-13","{""breaks"":-1,""periods"":-8130000}","52","f"
"1007","60","2018-05-08","{""breaks"":-2,""periods"":-13785000}","58","f"
