"id","appID","timestamp","status","user_id","lite"
"3275","68","2018-04-18 14:18:00.677+00","f","52","f"
"3276","69","2018-04-19 09:00:16.315+00","t","52","f"
"3277","70","2018-04-19 14:11:32.036+00","f","52","f"
"3278","55","2018-04-20 12:30:49.185+00","f","55","f"
"3279","56","2018-04-20 12:53:17.01+00","t","55","f"
"3280","19","2018-04-20 13:21:41.118+00","f","39","f"
"3281","55","2018-04-20 13:49:17.642+00","t","58","f"
"3282","63","2018-04-20 13:54:34.47+00","t","53","f"
"3283","57","2018-04-20 14:39:25.276+00","f","55","f"
"3284","56","2018-04-20 23:07:15.533+00","f","58","f"
"3285","64","2018-04-20 23:07:22.217+00","f","53","f"
"3286","65","2018-04-21 09:02:50.628+00","t","53","f"
"3287","66","2018-04-21 09:02:54.912+00","f","53","f"
"3288","57","2018-04-21 09:11:44.289+00","t","58","f"
"3289","58","2018-04-21 21:08:10.593+00","f","58","f"
"3290","59","2018-04-21 21:08:12.704+00","t","58","f"
"3291","60","2018-04-21 21:08:18.617+00","f","58","f"
"3292","61","2018-04-22 09:23:02.211+00","t","58","f"
"3293","33","2018-04-19 15:55:11.699+00","f","41","f"
"3294","34","2018-04-22 12:12:46.243+00","t","41","f"
"3295","35","2018-04-22 19:10:56.117+00","f","41","f"
"3296","36","2018-04-22 19:10:58.02+00","t","41","f"
"3297","37","2018-04-22 19:11:27.509+00","f","41","f"
"3298","38","2018-04-22 19:11:29.12+00","t","41","f"
"3299","62","2018-04-22 20:34:35.646+00","f","58","f"
"3300","63","2018-04-22 21:08:03.513+00","t","58","f"
"3301","64","2018-04-22 21:08:26.886+00","f","58","f"
"3302","71","2018-04-23 06:33:23.759+00","t","52","f"
"3303","113","2018-04-23 07:30:48.443+00","t","50","f"
"3304","23","2018-04-23 08:11:05.673+00","t","51","f"
"3305","24","2018-04-23 15:25:54.549+00","f","51","f"
"3306","72","2018-04-23 15:48:48.65+00","f","52","f"
"3307","65","2018-04-23 18:39:29.031+00","t","58","f"
"3308","66","2018-04-23 20:36:09.004+00","f","58","f"
"3309","73","2018-04-24 06:42:37.446+00","t","52","f"
"3310","114","2018-04-24 07:40:53.222+00","t","50","f"
"3311","74","2018-04-24 08:03:05.886+00","f","52","f"
"3312","75","2018-04-24 08:14:29.6+00","t","52","f"
"3313","20","2018-04-24 08:23:05.598+00","t","39","f"
"3314","115","2018-04-24 10:33:13.43+00","f","50","f"
"3315","116","2018-04-24 11:52:06.241+00","t","50","f"
"3316","76","2018-04-24 15:41:11.886+00","f","52","f"
"3317","21","2018-04-24 16:48:17.282+00","f","39","f"
"3318","21","2018-04-24 16:48:17.282+00","f","39","f"
"3319","67","2018-04-24 11:32:35.346+00","t","58","f"
"3320","68","2018-04-24 20:35:22.465+00","f","58","f"
